match_id,period_1_score,period_2_score,period_3_score,period_4_score,period_5_score,period_1_play_score,period_2_play_score,period_3_play_score,period_4_play_score,period_5_play_score,current_display,start_date,current_play_score
12052502,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052534,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052535,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052547,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052550,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052551,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052554,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052556,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052614,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052684,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052761,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053206,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053214,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053218,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053221,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053231,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053258,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053865,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053932,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053941,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054269,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054289,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054299,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054300,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054302,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054304,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054311,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054312,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054313,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054328,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054355,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054402,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054403,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054419,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054420,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054428,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054429,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054435,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054437,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054479,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054502,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054552,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054557,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054559,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054581,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054583,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054591,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054601,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054632,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054633,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054651,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054690,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054727,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054728,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054729,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054730,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054731,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054732,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054733,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054734,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054735,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054736,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054737,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054738,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054739,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054740,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054741,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054752,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054762,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054770,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054784,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054845,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054861,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054931,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054970,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055041,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055042,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055119,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055122,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055123,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055215,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055232,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055265,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055342,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055771,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055783,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055835,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12055836,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056233,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056234,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056235,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056239,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056307,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056390,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056393,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056394,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056494,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056498,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056503,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056521,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056522,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056525,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056538,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056563,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056577,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056615,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056624,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056746,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056747,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056784,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056796,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056823,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056840,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056841,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056844,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056845,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056846,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056847,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056893,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12056915,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12058095,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12058097,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12058236,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12058286,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11974053,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11974066,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998445,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998446,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
