match_id,full_name,height
12024386,"Asrawy, Amr",1.85
12024387,"Safwat, Mohamed",1.8
12024430,"Maristany Zuleta De Reales, Guiomar",
12024431,"Aikawa, Mayuka",
12024440,"Tubello, Alice",
12024550,"Zolotareva, Anastasia",
12024572,"Wong, Hong Yi Cody",
12024628,"Klok, Denys",1.8
12024632,"Liaonenka, Aliaksandr",1.96
12024643,"Bielinskyi, Viacheslav",
12024644,"Salkova, Dominika",
12024645,"Gutierrez, Oscar Jose",1.7
12024652,"Pogosian, Sergei",
12024769,"Ghazouani Durand, Yanis",
12024782,"Šrámková, Rebecca",1.79
12024913,"Pridankina, Elena",
12025016,"Bolkvadze, Mariam",
12025030,"Falei, Aliona",
12025056,"Martincova, Tereza",1.77
12025057,"Hercog, Polona",1.85
12025085,"Serafini, Marcello",1.88
12025144,"Miyazaki, Yuriko Lily",
12025672,"Rai, Ajeet",1.88
11998445,"Cazaux, Arthur",1.83
11998446,"Lestienne, Constant",1.8
11998447,"Ćorić, Borna",1.88
11998452,"Ćorić, Borna",1.88
11998453,"Mayot, Harold",1.78
11998454,"Rune, Holger",1.88
11998456,"Shevchenko, Alexander",1.85
11998459,"Rune, Holger",1.88
11998664,"Bolt, Alex",1.83
11998666,"Saville, Luke",1.88
11998667,"Uchiyama, Yasutaka",1.83
11998670,"Moriya, Hiroki",1.68
11998671,"Jasika, Omar",1.83
11998673,"Jasika, Omar",1.83
11998772,"Vandecasteele, Quinn",1.91
11998776,"Sandgren, Tennys",1.88
11998777,"Quinn, Ethan",1.91
11998779,"Duckworth, James",1.83
11998780,"Quinn, Ethan",1.91
11998781,"Nava, Emilio",1.85
11998784,"Kwiatkowski, Thai-Son",1.88
11998786,"Nava, Emilio",1.85
11999004,"Krajinović, Filip",1.85
11999005,"Naw, Hazem",1.83
11999006,"Rehberg, Max Hans",1.83
11999007,"Jorda Sanchis, David",1.98
11999009,"Kolar, Zdenek",1.83
11999011,"Travaglia, Stefano",1.85
11999014,"Travaglia, Stefano",1.85
11999015,"Kolar, Zdenek",1.83
11999018,"Rodionov, Jurij",1.91
11999019,"Rodionov, Jurij",1.91
11999206,"Weis, Alexander",1.88
11999207,"Coria, Federico",1.8
11999208,"Gill, Felix",1.75
11999211,"Casanova, Hernan",1.78
11999212,"Pucinelli de Almeida, Matheus",1.83
11999213,"Coria, Federico",1.8
11999214,"Feldbausch, Kilian",1.91
11999219,"Dutra da Silva, Daniel",1.73
12002041,"Rodionova, Arina",1.68
12002049,"Potapova, Anastasia",1.75
12002050,"Yastremska, Dayana",1.75
12002051,"Siniakova, Katerina",1.74
12002053,"Mertens, Elise",1.79
12002055,"Ostapenko, Jelena",1.77
12002057,"Shnaider, Diana",
12002058,"Wang, Xinyu",1.82
12002059,"Ostapenko, Jelena",1.77
12002060,"Wang, Yafan",1.7
12002061,"Mertens, Elise",1.79
12002064,"Rodionova, Arina",1.68
12002065,"Burel, Clara",1.76
12002066,"Shnaider, Diana",
12002067,"Wang, Yafan",1.7
12002068,"Potapova, Anastasia",1.75
12002072,"Vekić, Donna",1.79
12017513,"Shymanovich, Iryna",1.71
12017514,"Chang, Sophie",1.85
12018899,"Hercog, Polona",1.85
12019043,"Jones, Ben",1.93
12019658,"Jong, Alexander Maarten",1.8
12020048,"Chirico, Louisa",1.75
12021512,"Bielinskyi, Viacheslav",
12021514,"Krutykh, Oleksii",1.85
12021515,"Bielinskyi, Viacheslav",
12021516,"Krutykh, Oleksii",1.85
12021538,"Shalimova, Ekaterina",
12021658,"Erjavec, Veronika",
12022282,"Serafini, Marcello",1.88
12022321,"Kan, Victoria",
12022492,"Dodin, Océane",1.83
12022526,"Pecci, Alessandro",1.98
12022528,"Bulgaru, Miriam Bianca",
12022562,"Albie, Audrey",
12022672,"Appleton, Emily",
12022675,"Hamaliy, Elizabet",
12022685,"Sieg, Madison",
12022703,"Kessler, McCartney",
12022718,"Kempen, Magali",
12022727,"Ionescu, Elizabeth",
12022801,"Carlé, María Lourdes",1.66
12022802,"Strakhova, Valeriya",
12023335,"Ito, Aoi",
12023340,"Saito, Sara",
12023348,"Zhang, Zhizhen",1.93
12023349,"Zhou, Yi",1.93
12023350,"Zhou, Yi",1.93
12023351,"Zhang, Zhizhen",1.93
12023352,"Ly, Hoang Nam",1.75
12023353,"Trinh, Linh Giang",1.83
12023355,"Ly, Hoang Nam",1.75
12023356,"Trinh, Linh Giang",1.83
12023358,"Statham, Rubin",1.8
12023359,"Pannu, Kiranpal",1.85
12023361,"Statham, Rubin",1.8
12023362,"Pannu, Kiranpal",1.85
12023461,"Imamura, Saki",
12023462,"Sawangkaew, Mananchaya",
12023465,"Monnet, Carole",
12023470,"Shibahara, Ena",1.7
12024039,"Sultanov, Khumoyun",1.8
12024041,"Fomin, Sergey",1.8
12024042,"Fomin, Sergey",1.8
12024043,"Sultanov, Khumoyun",1.8
12024064,"Shimizu, Eri",
12024149,"Todoni, Anca Alexia",
12024225,"Merida Aguilar, Daniel",1.88
12024226,"Parker, Stuart",1.85
12024231,"Hassan, Benjamin",1.83
12024232,"Habib, Hady",1.88
12024234,"Habib, Hady",1.88
12024235,"Hassan, Benjamin",1.83
12024236,"Nikles, Johan",1.73
12024239,"Echargui, Moez",1.78
12024240,"Dougaz, Aziz",1.88
12024243,"Gea, Arthur",1.8
12024245,"Iannaccone, Federico",1.83
12024248,Perfetti Noah,
12024249,"Erhard, Mathys",1.88
12024252,"Toth, Amarissa Kiara",
12024254,"Giacomini, Luca",1.7
12024307,"Portillo Ramirez, Maria Jose",
12024308,"Martinez Martinez, Jorge",1.7
12024356,"Sharipov, Marat",1.88
12024365,"Tabacco, Giorgio",1.78
12024368,"Griekspoor, Tallon",1.88
12024369,"Van De Zandschulp, Botic",1.91
12024371,"Pfeifer, Lara",
12024386,"Asrawy, Amr",1.85
12024387,"Safwat, Mohamed",1.8
12024388,"Safwat, Mohamed",1.8
12024389,"Asrawy, Amr",1.85
12024430,"Maristany Zuleta De Reales, Guiomar",
12024431,"Aikawa, Mayuka",
12024435,"Samsonova, Laura",
12024440,"Tubello, Alice",
12024489,"Munk Mortensen, Rebecca",
12024512,"Ymer, Elias",1.85
12024513,"Ymer, Elias",1.85
12024514,"Friberg, Karl",1.91
12024550,"Zolotareva, Anastasia",
12024556,"Fucsovics, Marton",1.88
12024557,"Marozsan, Fabian",1.93
12024559,"Marozsan, Fabian",1.93
12024572,"Wong, Hong Yi Cody",
12024613,"Kecmanović, Miomir",1.83
12024614,"Lajovic, Dusan",1.83
12024617,"Kecmanović, Miomir",1.83
12024628,"Klok, Denys",1.8
12024632,"Liaonenka, Aliaksandr",1.96
12024637,"Durasovic, Viktor",1.85
12024640,"Ruud, Casper",1.83
12024642,"Krutykh, Oleksii",1.85
12024643,"Bielinskyi, Viacheslav",
12024644,"Salkova, Dominika",
12024645,"Gutierrez, Oscar Jose",1.7
12024652,"Pogosian, Sergei",
12024769,"Ghazouani Durand, Yanis",
12024782,"Šrámková, Rebecca",1.79
12024794,"Lee, Eunhye",
12024837,"Ruusuvuori, Emil",1.88
12024840,"Virtanen, Otto",1.93
12024913,"Pridankina, Elena",
12024934,"Mejia, Nicolas",1.83
12024935,"Soriano Barrera, Adria",1.91
12025016,"Bolkvadze, Mariam",
12025030,"Falei, Aliona",
12025044,"Salle, Fabien",1.85
12025056,"Martincova, Tereza",1.77
12025057,"Hercog, Polona",1.85
12025061,"Pecci, Alessandro",1.98
12025067,"Dodin, Océane",1.83
12025085,"Serafini, Marcello",1.88
12025130,"Arévalo, Marcelo",1.93
12025133,"Hovde, Liv",
12025138,"Pospisil, Vasek",1.93
12025139,"Diallo, Gabriel",2.03
12025142,"Kessler, McCartney",
12025144,"Miyazaki, Yuriko Lily",
12025149,"Carlé, María Lourdes",1.66
12025174,"Hu, Victoria",
12025672,"Rai, Ajeet",1.88
12025679,"Shibahara, Ena",1.7
12025684,"Wu, Tung-Lin",1.88
12025685,"Hsu, Yu Hsiou",1.78
12025687,"Wong, Hong Kit",
12025690,"Wong, Chak Lam Coleman",1.91
12025752,"Ito, Aoi",
12025799,"Rai, Ajeet",1.88
12025849,"Jakupovic, Dalila",1.7
12026470,"Eala, Alexandra",1.75
12026623,"Barranco Cosano, Javier",1.78
12026792,"Sharipov, Marat",1.88
12026797,"Pawelski, Martyn",1.96
12026852,"Efstathiou, Menelaos",1.83
12026853,"Chrysochos, Petros",1.85
12026855,"Khan, Aqeel",
12026875,"Gaubas, Vilius",1.78
12026878,"Berankis, Ričardas",1.75
12026987,"Klok, Denys",1.8
12027048,"Oetzbach, Adrian",1.85
12027058,"Kuzmanov, Dimitar",1.83
12027148,"Dencheva, Rositsa",
12027491,"Erhard, Mathys",1.88
12027494,"Zolotareva, Anastasia",
12027535,"Agwi, Michael",
12027539,"Wong, Hong Yi Cody",
12027541,"Čilić, Marin",1.98
12027547,"Ponchet, Jessika",
12027611,"Bolkvadze, Mariam",
12027640,"Noskova, Linda",1.79
12027641,"Bouzkova, Marie",1.8
12027643,"Koike, Ena",
12027644,"Serban, Raluca Georgiana",
12027645,"Papamichail, Despina",1.78
12027646,"Bronzetti, Lucia",1.7
12027647,"Dolehide, Caroline",1.78
12027648,"Sasnovich, Aliaksandra",1.74
12027649,"Kenin, Sofia",1.7
12027651,"Sorribes Tormo, Sara",1.76
12027652,"Sonobe, Wakana",
12027653,"Šrámková, Rebecca",1.79
12027654,"Masarova, Rebeka",1.86
12027665,"Sakatsume, Himeno",
12027666,"Grammatikopoulou, Valentini",1.64
12027667,"Radanović, Dejana",
12027669,"Liang, En-Shuo",
12027672,"Abduraimova, Nigina",1.82
12027673,"Sawant, Madhurima",
12027674,"Desai, Zeel",
12027677,"Stollar, Fanny",1.72
12027678,"Kulambayeva, Zhibek",
12027679,"Morvayova, Viktoria",
12027680,"Plipuech, Peangtarn",1.69
12027906,"Cerundolo, Francisco",1.85
12027950,"Jorge, Francisca",
12027973,"Bassols Ribera, Marina",1.65
12027974,"Szabo, Briana",
12027975,"Cornet, Alize",1.73
12027978,"Dart, Harriet",1.75
12027980,"Gamiz, Andrea",1.62
12027981,"Kraus, Sinja",
12027982,"Andreeva, Erika",
12027984,"Tanasie, Lavinia",
12028119,"Orlov, Vladyslav",1.88
12028146,"Bouquier, Arthur",1.88
12028542,"Hoang, Antoine",1.83
12029395,"Rai, Ajeet",1.88
12029656,"Noskova, Linda",1.79
12029664,"Krunić, Aleksandra",1.63
12037643,"Szabo, Briana",
12038557,"Shin, Maksim",1.91
12038644,"Bassem Sobhy, Michael",
12038683,"Lee, Eunhye",
12038684,"Munk Mortensen, Rebecca",
12038726,"Parker, Stuart",1.85
12039412,"Piros, Zsombor",1.8
11998452,"Ćorić, Borna",1.88
11998453,"Mayot, Harold",1.78
11998454,"Rune, Holger",1.88
11998456,"Shevchenko, Alexander",1.85
11998457,"Rune, Holger",1.88
11998458,"Auger-Aliassime, Felix",1.93
11998663,"Jasika, Omar",1.83
11998664,"Bolt, Alex",1.83
11998673,"Jasika, Omar",1.83
11998775,"Kudla, Denis",1.8
11998776,"Sandgren, Tennys",1.88
11998777,"Quinn, Ethan",1.91
11998778,"Duckworth, James",1.83
11998779,"Duckworth, James",1.83
11998781,"Nava, Emilio",1.85
11999006,"Rehberg, Max Hans",1.83
11999008,"Naw, Hazem",1.83
11999014,"Travaglia, Stefano",1.85
11999015,"Kolar, Zdenek",1.83
11999016,"Rodionov, Jurij",1.91
11999018,"Rodionov, Jurij",1.91
11999019,"Rodionov, Jurij",1.91
11999206,"Weis, Alexander",1.88
11999207,"Coria, Federico",1.8
11999208,"Gill, Felix",1.75
11999214,"Feldbausch, Kilian",1.91
11999216,"Gill, Felix",1.75
11999217,"Coria, Federico",1.8
12002059,"Ostapenko, Jelena",1.77
12002060,"Wang, Yafan",1.7
12002061,"Mertens, Elise",1.79
12002065,"Burel, Clara",1.76
12002066,"Shnaider, Diana",
12002067,"Wang, Yafan",1.7
12002068,"Potapova, Anastasia",1.75
